Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;1;Boa Viagem;Pivô 6;Soja;BMX OLIMPO IPRO;Grão;36,3;Nenhum;0;02/10/2023;02/10/2023;MG
2024;1;Boa Viagem;Pivô 9;Soja;NEO 680 IPRO;Grão;40,08;Nenhum;0;27/09/2023;27/09/2023;MG
2024;1;Lagoa Bonita;Pivô 10;Milho Doce;Thunder;Outros;133,01;Nenhum;0;11/10/2023;13/10/2023;MG
2024;1;Boa Viagem;Pivô 11;Soja;BMX TORMENTA IPRO;Grão;50,02;Nenhum;0;28/09/2023;28/09/2023;MG
2024;1;Colorado;Arizona;Soja;BMX OLIMPO IPRO;Grão;45,79;Nenhum;0;01/11/2023;01/11/2023;MG
2024;1;Colorado;Dallas;Soja;BMX OLIMPO IPRO;Grão;59,31;Nenhum;0;02/11/2023;02/11/2023;MG
2024;1;Colorado;Flórida;Soja;BMX OLIMPO IPRO;Grão;59,31;Nenhum;0;03/11/2023;03/11/2023;MG
2024;1;Colorado;Nova York I;Soja;CZ 37B43 IPRO;Grão;153,5;Nenhum;0;31/10/2023;01/11/2023;MG
2024;1;São Paulo;São Paulo;Soja;BMX BONUS IPRO;Grão;230;Nenhum;0;27/10/2023;28/10/2023;MG
2024;1;Atena;Bulgária;Soja;P97Y91 IPRO;Grão;78,05;Nenhum;0;26/10/2023;29/10/2023;MG
2024;1;Atena;Colombia;Soja;AS 3730 IPRO;Grão;106,47;Nenhum;0;30/10/2023;31/10/2023;MG
2024;1;Atena;Londres;Soja;TMG 2374 IPRO;Grão;90,6099;Nenhum;0;14/10/2023;16/10/2023;MG
2024;1;Atena;Rússia;Soja;P97Y91 IPRO;Grão;90,2583;Nenhum;0;27/10/2023;29/10/2023;MG
2024;1;Atena;Tchecoslováquia;Soja;P97Y91 IPRO;Grão;25,95;Nenhum;0;26/10/2023;29/10/2023;MG
2024;1;Atena;Portugal;Soja;TMG 2374 IPRO;Grão;100,4;Nenhum;0;14/10/2023;16/10/2023;MG
2024;1;São Pedro;Bolívia;Soja;BMX TORMENTA IPRO;Grão;61,9787;Nenhum;0;23/10/2023;26/10/2023;MG
